Comment,Emotion,processed_text
i kept my laptop close searching for jobs that i could build a career out of and looking for those all important christmas recipes to make this year feel a little more special,joy,kept laptop close search job could build career look import christma recip make year feel littl special
i read a story that left me feeling confused frustrated and a little angry,fear,read stori left feel confus frustrat littl angri
i look forward to when i am feeling better and can write more often,joy,look forward feel better write often
i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me,fear,reach feel uncertain need support slap upsid head know provid
i mean i feel i feel like the i feel the burden i cant breathe and suddenly im terrified of october what have i been doing the past weeks,fear,mean feel feel like feel burden cant breath suddenli im terrifi octob past week
i dont know if i cans trust him and i dont know how he feels about trusting me,joy,dont know can trust dont know feel trust
i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,anger,know almost feel angri within someth tangibl pragmat help sister
i was a child this song makes me smile because i was brought up the mediterranean because you only love the sea when you feel it in your bones when it makes you frightened and when it surprise you every day somehow so many ways,fear,child song make smile brought mediterranean love sea feel bone make frighten surpris everi day somehow mani way
i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered,joy,lure idea event promis free champagn know brilliant talk bestsel author kathi lett left feel genuin inspir empow
i saw a few pianos that were either newer cheaper or larger but there was always something missing that made me feel uncertain about buying them,fear,saw piano either newer cheaper larger alway someth miss made feel uncertain buy
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,feel like need make list leann would appal thought dont miss anyth
i feel bitter and just honkerblonked off in general,anger,feel bitter honkerblonk gener
i feel like im in a whirlwind and the next im trying not to be too impatient as i wait,anger,feel like im whirlwind next im tri impati wait
i was overcome with heat and i started feeling very weird,fear,overcom heat start feel weird
i ended up shoeless making me feel even more vulnerable and slowing me down further,fear,end shoeless make feel even vulner slow
i was able to guess or pick up on a lot of the plot twists in this episode from the first hints we were given and whether thats moffat using really obvious foreshadowing or me having a solid grasp of his narrative logic im not sure but i like it it both builds suspense and makes me feel clever,joy,abl guess pick lot plot twist episod first hint given whether that moffat use realli obviou foreshadow solid grasp narr logic im sure like build suspens make feel clever
i feel more like the manager everyday and i feel more respected by the day as well,joy,feel like manag everyday feel respect day well
im feeling really annoyed today,anger,im feel realli annoy today
i feel rather stressed for the preparations for prom night,anger,feel rather stress prepar prom night
i liked the ending but i did feel like it was a little bit rushed,anger,like end feel like littl bit rush
im feeling on the mellow side today,joy,im feel mellow side today
i hope i did not make you feel greedy o shit i hope i did not make you feel greedy or whore like sniiiiifff honey i was just trying to make you feel loved and happy,anger,hope make feel greedi shit hope make feel greedi whore like sniiiiifff honey tri make feel love happi
i am just feel so shy cause i realized those people behind me just didnt dance and look at us gt,fear,feel shi caus realiz peopl behind didnt danc look u gt
i do have to say that at first listen yunhos raps gave me that wtf feeling but after listening a couple times im determined to learn them,joy,say first listen yunho rap gave wtf feel listen coupl time im determin learn
when i was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic,fear,cycl past park car someon open door nearli push bike traffic
i supposed i ought to feel thankful for that adding with a sarcastic edge at my age,joy,suppos ought feel thank ad sarcast edg age
i was sent home still feeling a bit shaky and dizzy,fear,sent home still feel bit shaki dizzi
i am afrade for his life as some people feel quite hostile towards him,anger,afrad life peopl feel quit hostil toward
i am posting about a past event where i am feeling like i should be insulted,anger,post past event feel like insult
i feel im like a bird flying in the air in a very carefree manner,joy,feel im like bird fli air carefre manner
i am feeling impatient in so many ways but i am equally aware that it is important to learn all i can while im in this season,anger,feel impati mani way equal awar import learn im season
i feel little comes from my divine center,joy,feel littl come divin center
i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,fear,resort yesterday post peak day ill still housebound feel agit peckish brew href http pic
i can make and one that i feel i am called to make to my sweet jesus who sacrificed everything for me,joy,make one feel call make sweet jesu sacrif everyth
i feel that in order to prevent a lot of this company violent manager should have to have some sort of formal training as well as mental evaluation,anger,feel order prevent lot compani violent manag sort formal train well mental evalu
i dont want to approach this topic too lightly but at the same time i feel apprehensive putting it all out there,fear,dont want approach topic lightli time feel apprehens put
i am sitting here feeling a bit grumpy moanday blues anyone else feeling this way too,anger,sit feel bit grumpi moanday blue anyon els feel way
i cannot in good conscience encourage my young kids read stuff from someone i feel is so vile no matter how good it is,anger,good conscienc encourag young kid read stuff someon feel vile matter good
i actually just feel really eager,joy,actual feel realli eager
i break down and it leaves me feeling bitter,anger,break leaf feel bitter
i cant help but feel a bi jealous of their professional organization good support system and comfortable living situation,anger,cant help feel bi jealou profession organ good support system comfort live situat
tutorial again a fearful feeling came to me when i sat on the chair and looked at my fellow students all around i was really scared that they would ask me some questions or challenge the ideas that i had presented,fear,tutori fear feel came sat chair look fellow student around realli scare would ask question challeng idea present
i don t feel that talented at impacting how things end up at the moment,joy,feel talent impact thing end moment
i can do all things through christ who gives me strength is a lovely little verse that i repeat over and over when im feeling a little unsure about something,fear,thing christ give strength love littl vers repeat im feel littl unsur someth
i hate feeling so despised and detested by someone who i truly care for and completely love,anger,hate feel despis detest someon truli care complet love
i feel nervous when anyone gets too close,fear,feel nervou anyon get close
i feel helpless at the same time wherein practically no other option than to just sit and watch the drama,fear,feel helpless time wherein practic option sit watch drama
im feeling a bit shaken but not stirred nice bond reference ehh,fear,im feel bit shaken stir nice bond refer ehh
i can stay awake whole night feeling all energetic and stuff,joy,stay awak whole night feel energet stuff
i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled,anger,know specif almost everyon els similar experi still help feel appal
im feeling agitated today,fear,im feel agit today
i notice a lump or feel pain in any part of my body i will somehow become fearful or scared,fear,notic lump feel pain part bodi somehow becom fear scare
i didnt feel too much it was just casual,joy,didnt feel much casual
i taught him what it can look like and how it could make him feel scared confused excited nervous,fear,taught look like could make feel scare confus excit nervou
i was about to feel insulted and show opportunity the finger then the door when it presented the prize two weeks in italy,anger,feel insult show opportun finger door present prize two week itali
im wanting you to look at me that it makes people feel ok to ask questions,joy,im want look make peopl feel ok ask question
i feel a little strange chasing after them since im so disappointed in the brand as a whole,fear,feel littl strang chase sinc im disappoint brand whole
i feel like after everything ive been nothing but sincere what bothers me the most is that you wanted to hurt me you even told me,joy,feel like everyth ive noth sincer bother want hurt even told
i havent felt much like talking nothing bad just not been feeling very sociable in some ways,joy,havent felt much like talk noth bad feel sociabl way
i am feeling a little dissatisfied with my pictures for the last couple of months,anger,feel littl dissatisfi pictur last coupl month
i have to do this and make some vj feel jealous,anger,make vj feel jealou
i feel so disgusted and ashamed of myself,anger,feel disgust asham
im feeling really quite angry,anger,im feel realli quit angri
i was feeling very reluctant about the players even finding a library or sage to identify stuff for them,fear,feel reluct player even find librari sage identifi stuff
im putting it in my palm and blowing on it hoping it gets to the ears of the universe and its feeling a little generous the day it reaches them,joy,im put palm blow hope get ear univers feel littl gener day reach
i understand that you re feeling anxious,fear,understand feel anxiou
i didnt feel as obnoxious as before when i didnt feel like doing anything but sulk,anger,didnt feel obnoxi didnt feel like anyth sulk
fear of thief,fear,fear thief
i have the power to make another do what i want but in reality feel threatened and desire to control this other person so i am not a href https eqafe,fear,power make anoth want realiti feel threaten desir control person href http eqaf
i look forward to continuing this challenge and feel so appreciative for the boost to get my nutrition on a healthy track especially for my pregnancy the most important time in my life to be eating healthy,joy,look forward continu challeng feel appreci boost get nutrit healthi track especi pregnanc import time life eat healthi
i often feel bothered by it by my inability to stop loving people no matter how much time passes or how deeply they wrong me,anger,often feel bother inabl stop love peopl matter much time pass deepli wrong
i get depressed when i feel that i am not talented enough that i can never create a beautiful piece of art,joy,get depress feel talent enough never creat beauti piec art
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger,boyfriend split came friend hous visit male friend confront anoth room tri find arous friend feel part
i do find that this question puts me right at the edge of bringing the love of the dharma into the world an edge that i feel is vital and necessary,joy,find question put right edg bring love dharma world edg feel vital necessari
i feel fine read the rest,joy,feel fine read rest
im feeling somewhat indecisive about what to do in terms of an alliance,fear,im feel somewhat indecis term allianc
i didnt get a wink of sleep that night and continued feeling not so fabulous the next morning,joy,didnt get wink sleep night continu feel fabul next morn
im still using blogger to follow other blogs but i like livejournals feature of enabling private posts so i can keep just one journal without feeling inhibited about writing things i dont want to publish on the net,fear,im still use blogger follow blog like livejourn featur enabl privat post keep one journal without feel inhibit write thing dont want publish net
i grit my teeth shook my head and spent the next minutes feeling irritated,anger,grit teeth shook head spent next minut feel irrit
i will probably do but for some reason i feel a bit agitated by it all,fear,probabl reason feel bit agit
i can feel it weighing on me filling my thoughts as i try to do homework or help out at special olympics,joy,feel weigh fill thought tri homework help special olymp
i feel wimpy for complaining about taking credits this semester because i know people who took credits regularly but man this sucks,fear,feel wimpi complain take credit semest know peopl took credit regularli man suck
i feel pressured to talk to them,fear,feel pressur talk
i feel pretty weird about that considering what my friends and colleagues in nyc and new jersey are going through but it s just the reality,fear,feel pretti weird consid friend colleagu nyc new jersey go realiti
i am feeling cranky or not cooperative i should be allowed to sleep or relax and if i am not given this opportunity it s not my fault if i body slam my bosses or harass museum visitors,anger,feel cranki cooper allow sleep relax given opportun fault bodi slam boss harass museum visitor
i notice that i feel a little apprehensive even to share all this,fear,notic feel littl apprehens even share
i often feel that working in it is like being a hopefully benevolent goliath that is often undone by the humblest of davids,joy,often feel work like hope benevol goliath often undon humblest david
i feel fabulous,joy,feel fabul
i confess i feel a little apprehensive,fear,confess feel littl apprehens
i do feel like it is fine to have sex but you should be fully aware of what happen due to that action and know about different types of protection there is to prevent pregnancy,joy,feel like fine sex fulli awar happen due action know differ type protect prevent pregnanc
i take a look as i try to get used to the feeling of his touch innocent as it is,joy,take look tri get use feel touch innoc
i for one sit and stare at a blank computer screen for a while scratch my head a few times drink a couple pots of coffee and then feel triumphant once i write my first sentence and that first sentence usually consists of a poop joke,joy,one sit stare blank comput screen scratch head time drink coupl pot coffe feel triumphant write first sentenc first sentenc usual consist poop joke
i swamp uncaring unfeeling fucked up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you,anger,swamp uncar unfeel fuck apathet humanb wont pull head ass long enough turn around look say see
i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior,anger,feel like need tattoo peggi mara quot onto arm see next time feel disgust disdain disappoint child behavior
i feel pretty shy right now and i dont know why,fear,feel pretti shi right dont know
ill get round to it this quarter im feeling hopeful about this one,joy,ill get round quarter im feel hope one
i am feeling a little bit hostile towards my ex today,anger,feel littl bit hostil toward ex today
i know the pain parents feel when an enraged child becomes violent,anger,know pain parent feel enrag child becom violent
i read her novels to make me feel relaxed,joy,read novel make feel relax
i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,joy,want someth person appreci least feel real sincer give
i even feel welcomed into their fold,joy,even feel welcom fold
i feel invigorated as i am one,joy,feel invigor one
im looking good and feeling good other than this crappy cold im dealing with,joy,im look good feel good crappi cold im deal
i didnt feel like moving around things were going just fine by themselves,joy,didnt feel like move around thing go fine
im feeling so restless today,fear,im feel restless today
i feel weird this morning,fear,feel weird morn
i feel so proud,joy,feel proud
i truly feel i am irate,anger,truli feel irat
i feel a little paranoid that i may forget what ive learnt,fear,feel littl paranoid may forget ive learnt
i feel many petty people have judged me simply because i may be one,anger,feel mani petti peopl judg simpli may one
i know what god has said about stuff and yet right now i am beginning to feel anxious about it,fear,know god said stuff yet right begin feel anxiou
i feel bitter but i want to rise up,anger,feel bitter want rise
i feel impatient but much thanks to nic she knows how to calm to me down,anger,feel impati much thank nic know calm
i feel fucked tape last year make sure you get this,anger,feel fuck tape last year make sure get
i feel that they are vulnerable in the coming election given their performance,fear,feel vulner come elect given perform
i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s,joy,could feel joy rage come one glad feel back also glad went yoga tonight sometim need know better crossfit coach side plank img src http
i enjoyed the feeling of belonging and the sense that i was recognised and somehow valuable,joy,enjoy feel belong sens recognis somehow valuabl
i feel like ive been shaken around a thrown down,fear,feel like ive shaken around thrown
i woke up feeling very distraught and aware of something terrible which will happen soon,fear,woke feel distraught awar someth terribl happen soon
im just feeling so fucked up nothing can cheer me up,anger,im feel fuck noth cheer
i feel like im the only one there with a brain not to be rude but i refuse to sit with loud and rude people so i sit alone with just myself and a good book,anger,feel like im one brain rude refus sit loud rude peopl sit alon good book
i feel quite jolly in spite of the heat and the lack of commercialism,joy,feel quit jolli spite heat lack commerci
i was building with angie i m feeling profoundly betrayed and very angry,anger,build angi feel profoundli betray angri
i take lightly but if youre like me you re probably feeling a little skeptical of product that is being sold on the internet as the way to become successful online,fear,take lightli your like probabl feel littl skeptic product sold internet way becom success onlin
i didnt have to convince myself he was my soulmate and i feel very reluctant to use that word regarding him because my chemistry with him actually is unlike anything ive ever experienced,fear,didnt convinc soulmat feel reluct use word regard chemistri actual unlik anyth ive ever experienc
i feel unease in my room but our living room is very pleasant for me,joy,feel uneas room live room pleasant
i feel so because i feel reluctant,fear,feel feel reluct
i feel a lot more confident about the path ive chosen,joy,feel lot confid path ive chosen
waiting for my girlfriend to come from her apt to mine she was very late and i thought something awful had happened,fear,wait girlfriend come apt mine late thought someth aw happen
i think i have made it known how i feel about cold weather we are not friends i am ready for winter to be finished please please be finished,anger,think made known feel cold weather friend readi winter finish pleas pleas finish
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,anger,feel student classroom hostil toward display intellect like rest societi
i think i feel myself flushing don t be alarmed i m on a headache medicine that causes that sometimes,fear,think feel flush alarm headach medicin caus sometim
i am feeling more energetic more alive happier than i have in a long time,joy,feel energet aliv happier long time
i may feel relieved or satisfied but i am probably not having fun,joy,may feel reliev satisfi probabl fun
i am feeling terrific by implementing alternative medicine to maintain my health,joy,feel terrif implement altern medicin maintain health
i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,joy,honour young woman felt comfort enough ask kind faux hawk thing go back must look dykey enough feel safe talk
i feel for you despite the pain makes me suspicious that it might be so,fear,feel despit pain make suspici might
im also pretty close to just exiting out of the window because i feel like this makes me look freakishly neurotic,fear,im also pretti close exit window feel like make look freakishli neurot
im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless,fear,im still feel littl hesit plung multitud color pencil nonetheless
i hope you enjoy and do not feel offended,anger,hope enjoy feel offend
i feel enormously honoured to be included in this list,joy,feel enorm honour includ list
im feeling more comfortable in the water,joy,im feel comfort water
i hated that i hurt him with my feelings i hated that i was dating somebody i didn t love i hated that i pretended lied to a friend i really treassured,anger,hate hurt feel hate date somebodi love hate pretend lie friend realli treassur
i feel incredibly nervous about it,fear,feel incred nervou
i was feeling restless when i stepped into the kitchen to whip up this crunchy sweet treat,fear,feel restless step kitchen whip crunchi sweet treat
i am anxious to see the movie bully it s trailer left me feeling shaken and nostalgic,fear,anxiou see movi bulli trailer left feel shaken nostalg
i hope my condescending attitude will allow present me to feel offended and as such remember that the amount of sunlight affects plant growth,anger,hope condescend attitud allow present feel offend rememb amount sunlight affect plant growth
i feel like you didnt really care that alexis did that to me and you were irritated that i was even telling you,anger,feel like didnt realli care alexi irrit even tell
i was already packed didn t want to wait around for her to talk to her friend was feeling irritable tired and eventually gave up on trying to go in the first place made me feel more down about my situation,anger,alreadi pack want wait around talk friend feel irrit tire eventu gave tri go first place made feel situat
i feel overwhelmed stressed and pressured inside something magical happens when i take off my shoes and go for a walk in the park or on the beach,fear,feel overwhelm stress pressur insid someth magic happen take shoe go walk park beach
i achieved a specific athletic goal in what i feel is pretty fine form,joy,achiev specif athlet goal feel pretti fine form
im just feeling very uncertain and,fear,im feel uncertain
i feel so self satisfied proving that i can get by without my car and i am not one of those typical americans who is so dependent on their car and foreign oil,joy,feel self satisfi prove get without car one typic american depend car foreign oil
i probably couldn t go back to washington permanently once the baby is here at least not for a while although i have been torn for a while about whether i want to yes bleu i know how you feel about this but i m still not completely convinced,joy,probabl go back washington perman babi least although torn whether want ye bleu know feel still complet convinc
i feel bitchy because i am hurting too,anger,feel bitchi hurt
i was feeling a little skeptical that it would arrive on time the situation was not improved by the fact that despite various perfect party setups seeking in ffxi nobody was bothering to set them up including me but duh im lazy,fear,feel littl skeptic would arriv time situat improv fact despit variou perfect parti setup seek ffxi nobodi bother set includ duh im lazi
i feel somewhat relieved but disappointed that of the two qualified venue i had questioned neither bothered to make the observations we did,joy,feel somewhat reliev disappoint two qualifi venu question neither bother make observ
i feared i would feel resentful of her or this process but i dont and i am so happy about that,anger,fear would feel resent process dont happi
i told dh i was feeling internally shaky,fear,told dh feel intern shaki
i and i are feeling especially thankful for so many small blessings in our life right now,joy,feel especi thank mani small bless life right
i feel so honored and grateful that these wonderful people have entrusted us with this beautiful boy as our son,joy,feel honor grate wonder peopl entrust u beauti boy son
i feel that the tips given are very useful especially to parents with young kids like me,joy,feel tip given use especi parent young kid like
i feel like people are aggravated with me but why,anger,feel like peopl aggrav
i sometimes feel like an artistic redcoat,joy,sometim feel like artist redcoat
i feel the most peaceful and at my best when i m in nature,joy,feel peac best natur
i am feeling a bit doubtful of myself the last couple of weeks,fear,feel bit doubt last coupl week
i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms,anger,got feel hate would admit let know ive hate everi singl obstacl kept everi singl leaden block kept place clear path one anoth arm
i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,joy,feel read word realiz one time good writer feel share sympathi
i feel so helpless but so well protected,fear,feel helpless well protect
i started to feel really confused,fear,start feel realli confus
i feel like i talented young man i don t feel talented then i don t to work with,joy,feel like talent young man feel talent work
i feel some super shifting some super circles,joy,feel super shift super circl
i need some to hold me to hug me like they love me really love me to be there in quiet to just sit to be there just to stop me doing something stupid it cant be my parents cos i know id just run i cant run from other people i feel rude,anger,need hold hug like love realli love quiet sit stop someth stupid cant parent co know id run cant run peopl feel rude
i can t show my feelings well to my family and to the fans either,joy,show feel well famili fan either
i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous,fear,believ feel nervou father reassur noth nervou make nervou
i am feeling pretty restless right now while typing this,fear,feel pretti restless right type
i feel pressured by a dumb feeling,fear,feel pressur dumb feel
i feel hateful to have given up my friendship with that woman and a couple of others for the same reasons to admit defeat and let my husband make me feel so insecure that i feel the need to avoid her cut her out of my life so that my securities is not challenged,anger,feel hate given friendship woman coupl other reason admit defeat let husband make feel insecur feel need avoid cut life secur challeng
i tend not to want to cook if i feel grumpy or tired or just stressed,anger,tend want cook feel grumpi tire stress
i feel if not resolved soon enough will have a damaging effect on all the hard work my girlfriend and i have put into our relationship,joy,feel resolv soon enough damag effect hard work girlfriend put relationship
i cannot remember in which mix i heard this first and not remembering it is making me feeling all irritable,anger,rememb mix heard first rememb make feel irrit
ive been trying to tell you how i feelbut was never very smart,joy,ive tri tell feelbut never smart
i know the effects of my day to day happenings on my serenity are so subtle at times that i end up feeling irritable and discontent without knowing why,anger,know effect day day happen seren subtl time end feel irrit discont without know
i stopped feeling cold and began feeling hot,anger,stop feel cold began feel hot
i decided for the first time in about months to try not wearing my ugly pink and black running shoes and at least feel a little bit cute going out,joy,decid first time month tri wear ugli pink black run shoe least feel littl bit cute go
i feel for the genuinely shy and cautious women at home who after reading shades think that theres something wrong with them that they dont orgasm when someone touches their boob,fear,feel genuin shi cautiou woman home read shade think there someth wrong dont orgasm someon touch boob
i remember feeling annoyed but also wondering if i shouldn t stop and buy something,anger,rememb feel annoy also wonder stop buy someth
i asked that no one gift me but if i go to my sister s house when everyone gathers for the holiday i will feel impolite to show up empty handed,anger,ask one gift go sister hous everyon gather holiday feel impolit show empti hand
i dont want to put that pressure upon the minor because i feel like it would be more useful without it,joy,dont want put pressur upon minor feel like would use without
i left the place feeling slightly shaken it s hard to read and hear about such things,fear,left place feel slightli shaken hard read hear thing
i was feeling over eager and hopped on to the tube to ride the eye of london,joy,feel eager hop tube ride eye london
i love the treadmill and i am actually so used to it that i actually feel intimidated running outside,fear,love treadmil actual use actual feel intimid run outsid
i feel satisfied and not necessarily just forget the pain that she felt,joy,feel satisfi necessarili forget pain felt
i feel intimidated by the wide open design and therefore find it hard to write,fear,feel intimid wide open design therefor find hard write
i also feel proud of her,joy,also feel proud
i receive the good news in joy like the magi or do i feel threatened by gods message like herod,fear,receiv good news joy like magi feel threaten god messag like herod
i feel and bring him and coming against a savage the wax doll in the clouds blown across to tak my own feeling that be the bare feet were they were moving fast as i brought it as i love in a time for he yet i made him,anger,feel bring come savag wax doll cloud blown across tak feel bare foot move fast brought love time yet made
i just go into these modes where i want to write then feel disgusted and do not what to write at all,anger,go mode want write feel disgust write
i completely lose ability to segregate my feelings with my actions is when they are rude and hurtful to their father and my husband who is also my hero and best friend and heart,anger,complet lose abil segreg feel action rude hurt father husband also hero best friend heart
i write that i feel a bit anxious,fear,write feel bit anxiou
i feel so fucked up most of the time because not being able to concentrate on anything amp feeling anxiety all the time about everything makes me stressed apathetic amp i cant handle stress at all,anger,feel fuck time abl concentr anyth amp feel anxieti time everyth make stress apathet amp cant handl stress
i have been feeling so overwhelmed lately,fear,feel overwhelm late
i devote a significant amount of emotional energy to feeling anxious and thus become irritable or frustrated with very little provocation,fear,devot signific amount emot energi feel anxiou thu becom irrit frustrat littl provoc
i feel hateful of myself for being alone,anger,feel hate alon
i feel more irritated than peaceful,anger,feel irrit peac
i still feel uncertain with many new paths i must travel and as lost as i feel sometimes i am sure heavenly father is lifting me up and helping me to feel joy in the things that matter most,fear,still feel uncertain mani new path must travel lost feel sometim sure heavenli father lift help feel joy thing matter
i feel like i do for every one and the only one who does for me does it with an attitude and is aggravated to be asked,anger,feel like everi one one attitud aggrav ask
i don t feel dissatisfied just distracted from my life,anger,feel dissatisfi distract life
im feeling a tad rebellious right now,anger,im feel tad rebelli right
i feel a little calmer im more irritable and impatient than before,anger,feel littl calmer im irrit impati
i inquire incheswhyinches are people relocating droves about what they feel is security in precious metal,joy,inquir incheswhyinch peopl reloc drove feel secur preciou metal
i feel agitated im nervous im anxious,anger,feel agit im nervou im anxiou
i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now,anger,go elat laugh plung back extrem miseri simpl exchang feel danger
i can feel this really effecting my attitude toward her i feel bitter and angry,anger,feel realli effect attitud toward feel bitter angri
i experienced that feeling that people get when they are charmed or attracted to someone and that time was enough and a blessing in itself for me,joy,experienc feel peopl get charm attract someon time enough bless
i was overwhelmed with joy when i received the acceptance letter to unza this happened again when i passed all my first year courses,joy,overwhelm joy receiv accept letter unza happen pass first year cours
i spent a lot of my childhood feeling completely frightened of her but i remember a lot of good things too,fear,spent lot childhood feel complet frighten rememb lot good thing
i really feel amp dont be so uptight when expectations of others are met,fear,realli feel amp dont uptight expect other met
i also find it the most challenging to wrap up a story that brings good closure and a conclusion that doesn t leave that reader feeling cheated or rushed,anger,also find challeng wrap stori bring good closur conclus leav reader feel cheat rush
i then said i dont know what you believe the most important day you have ever lived is but i want to share with you what i feel the most important day of your life is,joy,said dont know believ import day ever live want share feel import day life
i think there s nobody there but when i reach there i feel suspicious,fear,think nobodi reach feel suspici
i have struggled to fit all the work in for this module and have felt frustrated at times feeling that my blogs were rushed and although i have read with great interested fellow students blogs i feel i havent interacted as much as i could have done this is a definite area for development,anger,struggl fit work modul felt frustrat time feel blog rush although read great interest fellow student blog feel havent interact much could done definit area develop
i feel very relaxed playing with carl clarke says,joy,feel relax play carl clark say
im in the car with my roommate and her family i feel like im being all rude because i have to call her and my dad so that my dad can give her directions and she keeps asking what she needs to bring,anger,im car roommat famili feel like im rude call dad dad give direct keep ask need bring
i am learning is one of my default reactions when i feel threatened,fear,learn one default reaction feel threaten
i feel less bothered my get the rape stick out of your ass because i think a statement like that says a lot more about the speaker than the target,anger,feel le bother get rape stick as think statement like say lot speaker target
i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,fear,seem feel littl le anxiou week sure wish could check everi week doctor instead schedul
i am slowly paying off my debts and i feel generally happy about where i am and what im doing,joy,slowli pay debt feel gener happi im
i dont know that i am feeling fearful,fear,dont know feel fear
i sat down at the computer feeling nervous excited and more than a little silly,fear,sat comput feel nervou excit littl silli
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger,look around peopl around feel almost slightli enviou way motiv sit studi hard
i was starting to feel nervous all this lifetime of fandom and build up and there i stood donning my vip sticker,fear,start feel nervou lifetim fandom build stood don vip sticker
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,joy,ive lost lb januari year wick part feel keen tri new cloth tell deserv new cloth
i stopped looking for a solution to my problem and i stopped feeling like i have to be dissatisfied,anger,stop look solut problem stop feel like dissatisfi
i no raphael says grasping for his usual eloquence and feeling it slip from his fingers with spiteful ease,anger,raphael say grasp usual eloqu feel slip finger spite eas
i will still feel insecure,fear,still feel insecur
i feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title i could use a standing ovation could you,joy,feel safe encod utf local en ispriv fals ismobil fals mobileclass isprivateblog fals languagedirect ltr feedlink link rel altern type applic atom xml titl could use stand ovat could
i was cleaning up the place and about minutes in i started feeling paranoid and what i can only assume is the beginning of a psychotic episode,fear,clean place minut start feel paranoid assum begin psychot episod
i glanced out the window at the people strolling on the sidewalks carefree suddenly feeling envious of them for reasons i couldn t explain,anger,glanc window peopl stroll sidewalk carefre suddenli feel enviou reason explain
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend,anger,feel littl frustrat ach long settl heart weari life slip around shoulder like unwelcom friend
i think it s the easiest time of year to feel dissatisfied,anger,think easiest time year feel dissatisfi
i press play and yeah i watch my movie about five times in a row right then and there i feel satisfied and cant wait to share what i made with my friends,joy,press play yeah watch movi five time row right feel satisfi cant wait share made friend
i get lots of praises i feel proud sometimes,joy,get lot prais feel proud sometim
i am feeling much more like myself but experiencing strange head and neck twinges,fear,feel much like experienc strang head neck twing
i had just eaten a particularly dreadful railway burger and so was feeling irritated before i even read his remarks hence my suggestion that he was only a so called environment secretary,anger,eaten particularli dread railway burger feel irrit even read remark henc suggest call environ secretari
i am feeling very apprehensive about the future at the moment,fear,feel apprehens futur moment
i would throw things and feel terrified and agitated,fear,would throw thing feel terrifi agit
i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something,fear,lie bed leg constant motion feel control shaken tap someth
i can feel them cool but seldom empty pale with,joy,feel cool seldom empti pale
i feel as a person and a politician i cannot allow dogs to run around on our streets that are more dangerous than others,anger,feel person politician allow dog run around street danger other
i wonder if this is just my bias from the fact that im doing a bible themed anthology and i feel like my intelligence is being insulted,anger,wonder bia fact im bibl theme antholog feel like intellig insult
im warning you hes feeling cranky this morning,anger,im warn he feel cranki morn
i feel annoyed img class aligncenter size full wp image src http mrdanbaird,anger,feel annoy img class aligncent size full wp imag src http mrdanbaird
i sort of suspected i was going to feel resentful and not really show my best side,anger,sort suspect go feel resent realli show best side
i feel your innocent love,joy,feel innoc love
i see anything that would cause me to feel fearful or distrustful of him,fear,see anyth would caus feel fear distrust
i am left tonight feeling so hopeful for the future of the orphan crisis in this country,joy,left tonight feel hope futur orphan crisi countri
i like them because i feel working on these puzzles helps him improve his fine motor skills and teaches him how to follow a set of instructions in order to make something,joy,like feel work puzzl help improv fine motor skill teach follow set instruct order make someth
i feel more and more dissatisfied with each passing weekend,anger,feel dissatisfi pass weekend
